11/26 11:47:26 PM | TRAINING: Epoch: 1,TPR[all:,0.53,HumanFC:,0.458,EpiMap:,0.58,TFs:,0.53,,,,,,
11/26 11:47:31 PM | TRAINING: Epoch: 1,TPR[all:,0.514,HumanFC:,0.454,EpiMap:,0.576,TFs:,0.516,,training mean,,,,
11/26 11:47:35 PM | TRAINING: Epoch: 1,TPR[all:,0.514,HumanFC:,0.449,EpiMap:,0.572,TFs:,0.52,,,all,humanfc,epimap,tfs
11/26 11:47:40 PM | TRAINING: Epoch: 1,TPR[all:,0.516,HumanFC:,0.448,EpiMap:,0.576,TFs:,0.508,,,0.029223183,0.020362745,0.036490196,0.028992503
11/26 11:47:45 PM | TRAINING: Epoch: 1,TPR[all:,0.508,HumanFC:,0.44,EpiMap:,0.572,TFs:,0.496,,training max,,,,
11/26 11:47:50 PM | TRAINING: Epoch: 1,TPR[all:,0.51,HumanFC:,0.446,EpiMap:,0.564,TFs:,0.5,,,all,humanfc,epimap,tfs
11/26 11:47:55 PM | TRAINING: Epoch: 1,TPR[all:,0.506,HumanFC:,0.438,EpiMap:,0.574,TFs:,0.493,,,0.53,0.458,0.58,0.53
11/26 11:47:59 PM | TRAINING: Epoch: 1,TPR[all:,0.508,HumanFC:,0.442,EpiMap:,0.56,TFs:,0.504,,,,,,
11/26 11:48:04 PM | TRAINING: Epoch: 1,TPR[all:,0.505,HumanFC:,0.432,EpiMap:,0.566,TFs:,0.499,,,,,,
11/26 11:48:09 PM | TRAINING: Epoch: 1,TPR[all:,0.506,HumanFC:,0.438,EpiMap:,0.564,TFs:,0.478,,,,,,
11/26 11:48:14 PM | TRAINING: Epoch: 1,TPR[all:,0.5,HumanFC:,0.435,EpiMap:,0.569,TFs:,0.477,,,,,,
11/26 11:48:19 PM | TRAINING: Epoch: 1,TPR[all:,0.493,HumanFC:,0.431,EpiMap:,0.563,TFs:,0.492,,,,,,
11/26 11:48:23 PM | TRAINING: Epoch: 1,TPR[all:,0.494,HumanFC:,0.419,EpiMap:,0.558,TFs:,0.474,,,,,,
11/26 11:48:28 PM | TRAINING: Epoch: 1,TPR[all:,0.493,HumanFC:,0.415,EpiMap:,0.566,TFs:,0.483,,,,,,
11/26 11:48:33 PM | TRAINING: Epoch: 1,TPR[all:,0.492,HumanFC:,0.415,EpiMap:,0.558,TFs:,0.476,,,,,,
11/26 11:48:38 PM | TRAINING: Epoch: 1,TPR[all:,0.489,HumanFC:,0.407,EpiMap:,0.57,TFs:,0.475,,,,,,
