,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.674,0.572,0.726,0.486,0.687,0.551,0.641,0.669,0.6895,0.555,0.69,0.769
1,0.618,0.666,0.325,0.602,0.73,0.696,0.544,0.7,0.273,0.76,0.593,0.779
2,0.598,0.688,0.29,0.602,0.7555,0.72,0.542,0.75,0.264,0.6425,0.7575,0.784
3,0.59,0.699,0.2675,0.6075,0.7745,0.73,0.544,0.75,0.258,0.586,0.811,0.7955
4,0.58,0.707,0.2475,0.6075,0.787,0.745,0.528,0.766,0.213,0.662,0.814,0.812
5,0.58,0.708,0.222,0.627,0.794,0.7485,0.527,0.766,0.181,0.67,0.833,0.814
6,0.57,0.715,0.217,0.654,0.771,0.759,0.526,0.762,0.177,0.682,0.82,0.815
7,0.576,0.711,0.214,0.639,0.777,0.747,0.524,0.762,0.1425,0.639,0.856,0.816
8,0.574,0.711,0.219,0.643,0.775,0.748,0.523,0.766,0.148,0.655,0.846,0.815
9,0.569,0.717,0.214,0.64,0.776,0.757,0.523,0.766,0.152,0.662,0.84,0.815
