,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.675,0.574,0.721,0.475,0.693,0.557,0.661,0.598,0.698,0.487,0.717,0.646
1,0.62,0.664,0.337,0.581,0.738,0.698,0.625,0.656,0.3,0.6,0.781,0.669
2,0.603,0.68,0.292,0.61,0.748,0.711,0.617,0.668,0.259,0.59,0.836,0.678
3,0.589,0.691,0.275,0.608,0.786,0.726,0.61,0.68,0.262,0.598,0.848,0.686
4,0.581,0.699,0.259,0.62,0.79,0.733,0.6,0.691,0.245,0.651,0.824,0.696
5,0.586,0.703,0.24,0.635,0.781,0.733,0.594,0.695,0.226,0.659,0.821,0.716
6,0.581,0.707,0.233,0.628,0.789,0.747,0.592,0.697,0.205,0.653,0.826,0.733
7,0.577,0.707,0.229,0.623,0.786,0.749,0.589,0.699,0.203,0.663,0.817,0.737
8,0.579,0.711,0.226,0.632,0.777,0.744,0.587,0.703,0.208,0.676,0.808,0.737
9,0.578,0.707,0.226,0.64,0.772,0.749,0.587,0.699,0.205,0.671,0.811,0.737
