,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.693,0.518,1,0.426,0.599,0.501,0.691,0.521,1,0.424,0.616,0.499
1,0.691,0.539,1,0.434,0.632,0.501,0.689,0.535,1,0.434,0.64,0.499
2,0.689,0.551,1,0.443,0.647,0.501,0.688,0.549,1,0.443,0.647,0.499
3,0.687,0.562,1,0.455,0.652,0.499,0.687,0.551,1,0.455,0.646,0.499
4,0.687,0.561,1,0.475,0.642,0.5,0.686,0.557,1,0.475,0.635,0.499
5,0.686,0.566,1,0.476,0.65,0.501,0.686,0.559,1,0.464,0.652,0.498
6,0.686,0.562,1,0.471,0.652,0.497,0.686,0.559,1,0.464,0.652,0.497
7,0.685,0.568,1,0.474,0.655,0.498,0.685,0.559,1,0.464,0.652,0.498
8,0.685,0.566,1,0.473,0.653,0.5,0.685,0.559,1,0.464,0.652,0.498
9,0.685,0.568,1,0.473,0.653,0.499,0.685,0.559,1,0.464,0.652,0.498
