,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.693,0.518,1,0.4245,0.601,0.5,0.694,0.486,1,0.411,0.615,0.502
1,0.691,0.543,1,0.428,0.6355,0.5,0.693,0.52,1,0.409,0.664,0.501
2,0.689,0.555,1,0.4335,0.66,0.5,0.691,0.523,1,0.396,0.685,0.502
3,0.687,0.561,1,0.44,0.667,0.5,0.691,0.529,1,0.424,0.675,0.501
4,0.686,0.563,1,0.46,0.6635,0.501,0.69,0.543,1,0.428,0.681,0.5
5,0.686,0.566,1,0.4615,0.6665,0.5,0.69,0.543,1,0.437,0.676,0.501
6,0.686,0.563,1,0.463,0.665,0.5,0.69,0.543,1,0.428,0.682,0.501
7,0.685,0.562,1,0.463,0.6655,0.5,0.69,0.543,1,0.428,0.682,0.501
8,0.685,0.564,1,0.463,0.664,0.5,0.69,0.543,1,0.428,0.682,0.501
9,0.685,0.565,1,0.463,0.667,0.5,0.69,0.543,1,0.428,0.682,0.501
