,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.615,0.688,0.244,0.626,0.743,0.739,0.591,0.695,0.11,0.709,0.768,0.762
1,0.574,0.715,0.179,0.654,0.778,0.776,0.597,0.691,0.242,0.581,0.871,0.774
2,0.56,0.719,0.197,0.656,0.776,0.788,0.58,0.719,0.223,0.651,0.816,0.772
3,0.54,0.734,0.188,0.671,0.795,0.807,0.642,0.691,0.148,0.554,0.898,0.75
4,0.513,0.754,0.181,0.706,0.804,0.833,0.635,0.691,0.148,0.753,0.7,0.753
5,0.475,0.777,0.168,0.749,0.812,0.861,0.673,0.66,0.125,0.765,0.669,0.742
6,0.449,0.797,0.154,0.765,0.824,0.882,0.663,0.656,0.112,0.742,0.661,0.737
7,0.439,0.805,0.149,0.778,0.822,0.89,0.631,0.68,0.133,0.735,0.753,0.74
8,0.436,0.805,0.145,0.782,0.827,0.894,0.617,0.695,0.141,0.696,0.789,0.744
9,0.433,0.807,0.15,0.78,0.83,0.893,0.619,0.695,0.139,0.699,0.788,0.744
