,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.616,0.688,0.847,0.632,0.737,0.735,0.589,0.699,0.523,0.715,0.772,0.765
1,0.575,0.717,0.533,0.658,0.772,0.779,0.581,0.723,0.586,0.658,0.82,0.779
2,0.565,0.715,0.473,0.656,0.766,0.782,0.621,0.689,0.42,0.811,0.642,0.769
3,0.544,0.73,0.435,0.675,0.784,0.803,0.662,0.684,0.268,0.782,0.68,0.76
4,0.522,0.75,0.416,0.702,0.8,0.825,0.59,0.715,0.339,0.722,0.801,0.776
5,0.497,0.77,0.407,0.731,0.803,0.848,0.629,0.695,0.28,0.751,0.704,0.767
6,0.47,0.785,0.37,0.752,0.811,0.867,0.654,0.688,0.21,0.739,0.709,0.752
7,0.459,0.793,0.353,0.77,0.814,0.877,0.653,0.689,0.269,0.774,0.674,0.75
8,0.455,0.797,0.347,0.765,0.817,0.881,0.628,0.699,0.283,0.751,0.746,0.756
9,0.46,0.791,0.349,0.77,0.821,0.876,0.633,0.703,0.273,0.756,0.736,0.756
