,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.613,0.695,0.27,0.629,0.749,0.752,0.541,0.762,0.09,0.682,0.762,0.828
1,0.575,0.713,0.177,0.654,0.771,0.78,0.529,0.767,0.137,0.723,0.811,0.838
2,0.559,0.719,0.196,0.662,0.763,0.786,0.555,0.75,0.168,0.823,0.687,0.834
3,0.546,0.727,0.204,0.664,0.789,0.797,0.571,0.707,0.15,0.733,0.804,0.776
4,0.525,0.744,0.192,0.687,0.796,0.817,0.528,0.766,0.139,0.748,0.774,0.795
5,0.498,0.766,0.183,0.728,0.806,0.842,0.585,0.709,0.146,0.758,0.739,0.788
6,0.476,0.783,0.176,0.746,0.804,0.864,0.555,0.7,0.125,0.771,0.749,0.813
7,0.457,0.795,0.16,0.765,0.82,0.877,0.564,0.717,0.106,0.741,0.765,0.798
8,0.449,0.801,0.153,0.772,0.826,0.884,0.551,0.733,0.133,0.742,0.771,0.798
9,0.451,0.801,0.15,0.78,0.829,0.882,0.55,0.733,0.133,0.734,0.776,0.796
