,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.427,0.855,0.165,0.265,0.962,0.718,0.493,0.758,0.253,0.653,0.756,0.755
1,0.409,0.871,0.16,0.326,0.956,0.763,0.496,0.775,0.227,0.563,0.82,0.771
2,0.408,0.869,0.16,0.327,0.955,0.778,0.494,0.781,0.248,0.542,0.849,0.785
3,0.403,0.875,0.157,0.335,0.956,0.773,0.491,0.775,0.245,0.549,0.853,0.794
4,0.401,0.875,0.156,0.346,0.953,0.776,0.492,0.785,0.234,0.568,0.848,0.804
5,0.401,0.873,0.158,0.349,0.953,0.773,0.489,0.777,0.246,0.57,0.851,0.803
6,0.404,0.875,0.158,0.346,0.953,0.783,0.486,0.762,0.232,0.584,0.835,0.801
7,0.401,0.875,0.157,0.352,0.949,0.785,0.49,0.787,0.237,0.567,0.854,0.801
8,0.4,0.875,0.157,0.357,0.952,0.781,0.489,0.777,0.229,0.578,0.847,0.799
9,0.399,0.873,0.156,0.361,0.95,0.776,0.488,0.773,0.231,0.58,0.846,0.8
