,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.429,0.852,0.167,0.282,0.962,0.715,0.3995,0.881,0.1925,0.3335,0.9585,0.6945
1,0.41,0.871,0.157,0.33,0.955,0.764,0.393,0.8935,0.161,0.328,0.9645,0.7255
2,0.408,0.875,0.161,0.329,0.955,0.767,0.3895,0.8915,0.159,0.3085,0.9715,0.732
3,0.406,0.871,0.159,0.332,0.954,0.77,0.389,0.8915,0.1445,0.332,0.964,0.737
4,0.403,0.875,0.159,0.346,0.954,0.77,0.3885,0.889,0.1695,0.358,0.954,0.741
5,0.404,0.873,0.157,0.35,0.953,0.782,0.3865,0.89,0.1615,0.349,0.9635,0.7445
6,0.398,0.875,0.158,0.353,0.952,0.78,0.388,0.888,0.159,0.3545,0.9595,0.7435
7,0.402,0.873,0.158,0.361,0.951,0.78,0.3885,0.889,0.161,0.3545,0.9605,0.744
8,0.398,0.875,0.157,0.355,0.952,0.789,0.388,0.889,0.163,0.355,0.96,0.7435
9,0.399,0.875,0.158,0.357,0.951,0.783,0.388,0.888,0.1645,0.3585,0.9585,0.7435
