,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.506,0.793,0.207,0.08,0.976,0.501,0.4485,0.8555,0.2,0.065,0.977,0.498
1,0.49,0.795,0.209,0.078,0.977,0.5,0.448,0.8555,0.213,0.0805,0.9725,0.497
2,0.486,0.801,0.209,0.078,0.978,0.503,0.4485,0.8555,0.207,0.065,0.977,0.4955
3,0.49,0.793,0.209,0.077,0.978,0.498,0.448,0.8555,0.207,0.065,0.977,0.496
4,0.489,0.797,0.209,0.078,0.978,0.499,0.4475,0.8555,0.207,0.065,0.977,0.497
5,0.492,0.793,0.209,0.077,0.977,0.499,0.448,0.8555,0.213,0.065,0.977,0.4945
6,0.491,0.793,0.209,0.077,0.977,0.502,0.448,0.8555,0.213,0.065,0.977,0.4955
7,0.489,0.795,0.21,0.076,0.978,0.496,0.448,0.8555,0.213,0.065,0.977,0.4935
8,0.493,0.795,0.21,0.077,0.978,0.499,0.448,0.8555,0.213,0.065,0.977,0.4965
9,0.488,0.797,0.21,0.077,0.977,0.501,0.448,0.8555,0.213,0.065,0.977,0.4945
