,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.502,0.793,0.213,0.085,0.975,0.498,0.477,0.805,0.213,0.089,0.973,0.492
1,0.491,0.795,0.213,0.081,0.976,0.499,0.476,0.805,0.22,0.089,0.973,0.493
2,0.492,0.795,0.213,0.082,0.976,0.5,0.476,0.805,0.213,0.089,0.973,0.493
3,0.49,0.797,0.213,0.082,0.976,0.5,0.476,0.805,0.213,0.089,0.973,0.491
4,0.494,0.793,0.213,0.081,0.976,0.502,0.475,0.805,0.213,0.089,0.973,0.494
5,0.491,0.797,0.213,0.082,0.976,0.499,0.476,0.805,0.213,0.089,0.973,0.489
6,0.491,0.793,0.214,0.083,0.976,0.5,0.476,0.805,0.213,0.089,0.973,0.493
7,0.491,0.795,0.214,0.083,0.976,0.5,0.476,0.805,0.213,0.089,0.973,0.49
8,0.494,0.793,0.214,0.082,0.976,0.499,0.476,0.805,0.213,0.089,0.973,0.492
9,0.489,0.797,0.214,0.082,0.976,0.498,0.476,0.805,0.213,0.089,0.973,0.491
