,trainLoss,trainAcc,1-trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,1-testUncer,testTpr,testTnr,testRoc
0,0.504,0.793,0.794,0.082,0.976,0.501,0.526,0.742,0.793,0.07,0.979,0.494
1,0.49,0.797,0.794,0.079,0.977,0.499,0.524,0.742,0.793,0.081,0.974,0.494
2,0.489,0.799,0.793,0.08,0.977,0.5,0.524,0.742,0.787,0.07,0.979,0.495
3,0.488,0.797,0.793,0.08,0.977,0.502,0.524,0.742,0.793,0.081,0.974,0.495
4,0.488,0.797,0.793,0.08,0.977,0.501,0.524,0.742,0.793,0.081,0.974,0.492
5,0.488,0.801,0.793,0.079,0.977,0.502,0.524,0.742,0.793,0.081,0.974,0.494
6,0.489,0.801,0.792,0.08,0.977,0.499,0.524,0.742,0.793,0.081,0.974,0.494
7,0.488,0.797,0.793,0.079,0.977,0.505,0.524,0.742,0.793,0.07,0.979,0.494
8,0.49,0.793,0.793,0.079,0.977,0.498,0.524,0.742,0.793,0.07,0.979,0.495
9,0.485,0.801,0.793,0.08,0.977,0.499,0.524,0.742,0.793,0.07,0.979,0.493
