,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.406,0.875,0.158,0.385,0.944,0.785,0.3715,0.9025,0.1515,0.4635,0.936,0.764
1,0.382,0.877,0.144,0.448,0.937,0.823,0.368,0.8985,0.1515,0.561,0.9055,0.7595
2,0.365,0.883,0.133,0.497,0.935,0.844,0.368,0.867,0.145,0.6295,0.866,0.7715
3,0.342,0.895,0.12,0.541,0.936,0.873,0.391,0.888,0.117,0.496,0.9245,0.764
4,0.314,0.91,0.107,0.599,0.938,0.898,0.4135,0.8585,0.1235,0.6435,0.866,0.7595
5,0.286,0.922,0.092,0.643,0.943,0.92,0.403,0.877,0.107,0.5745,0.8915,0.7465
6,0.269,0.934,0.084,0.675,0.945,0.927,0.4095,0.87,0.101,0.5805,0.88,0.7615
7,0.254,0.938,0.08,0.695,0.949,0.938,0.4155,0.874,0.1,0.603,0.869,0.7555
8,0.254,0.936,0.08,0.701,0.947,0.938,0.419,0.877,0.099,0.593,0.877,0.76
9,0.254,0.936,0.079,0.697,0.947,0.937,0.418,0.873,0.1,0.604,0.8675,0.759
