,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.407,0.873,0.159,0.395,0.943,0.78,0.439,0.869,0.134,0.487,0.919,0.814
1,0.379,0.879,0.142,0.457,0.936,0.825,0.444,0.877,0.116,0.576,0.903,0.829
2,0.364,0.883,0.132,0.506,0.933,0.851,0.439,0.867,0.129,0.591,0.894,0.812
3,0.34,0.895,0.119,0.551,0.935,0.872,0.467,0.824,0.134,0.644,0.871,0.803
4,0.309,0.914,0.104,0.605,0.939,0.894,0.424,0.849,0.12,0.584,0.884,0.763
5,0.283,0.924,0.091,0.651,0.944,0.921,0.45,0.848,0.111,0.619,0.879,0.767
6,0.267,0.932,0.084,0.68,0.945,0.93,0.495,0.848,0.102,0.611,0.875,0.759
7,0.255,0.938,0.08,0.7,0.946,0.937,0.495,0.857,0.099,0.626,0.876,0.757
8,0.25,0.939,0.078,0.706,0.948,0.936,0.498,0.854,0.102,0.641,0.871,0.759
9,0.249,0.938,0.078,0.706,0.949,0.942,0.497,0.852,0.102,0.64,0.873,0.759
