,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.46,0.773,0.14,0.3695,0.939,0.763,0.529,0.727,0.261,0.743,0.748,0.732
1,0.4115,0.824,0.0985,0.504,0.929,0.8025,0.514,0.745,0.187,0.76,0.736,0.737
2,0.4055,0.828,0.0855,0.5185,0.926,0.812,0.514,0.754,0.185,0.816,0.682,0.752
3,0.395,0.836,0.084,0.5225,0.928,0.8195,0.513,0.75,0.184,0.797,0.688,0.785
4,0.3885,0.844,0.082,0.551,0.933,0.8325,0.514,0.75,0.171,0.817,0.657,0.785
5,0.3805,0.841,0.0835,0.529,0.9335,0.8315,0.496,0.745,0.172,0.771,0.7,0.787
6,0.394,0.836,0.0845,0.533,0.9305,0.8225,0.496,0.745,0.172,0.78,0.691,0.786
7,0.3835,0.844,0.083,0.546,0.9355,0.8305,0.5,0.745,0.167,0.798,0.673,0.786
8,0.386,0.844,0.0845,0.5445,0.934,0.838,0.501,0.745,0.171,0.804,0.667,0.785
9,0.387,0.842,0.0825,0.526,0.9375,0.819,0.499,0.745,0.168,0.796,0.673,0.786
