,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.4665,0.766,0.144,0.3605,0.931,0.758,0.483,0.81,0.212,0.648,0.908,0.786
1,0.417,0.818,0.095,0.524,0.928,0.802,0.464,0.81,0.128,0.571,0.92,0.788
2,0.401,0.828,0.088,0.52,0.928,0.81,0.469,0.786,0.122,0.517,0.927,0.792
3,0.398,0.832,0.088,0.524,0.927,0.81,0.456,0.802,0.112,0.565,0.921,0.8
4,0.398,0.832,0.09,0.548,0.925,0.819,0.454,0.786,0.107,0.52,0.932,0.809
5,0.385,0.84,0.084,0.546,0.932,0.835,0.45,0.802,0.099,0.559,0.922,0.814
6,0.393,0.84,0.083,0.528,0.936,0.823,0.448,0.802,0.095,0.57,0.92,0.814
7,0.392,0.836,0.086,0.533,0.929,0.817,0.449,0.794,0.099,0.546,0.926,0.815
8,0.39,0.836,0.085,0.556,0.931,0.83,0.447,0.802,0.095,0.569,0.921,0.814
9,0.382,0.844,0.085,0.552,0.933,0.828,0.447,0.802,0.095,0.574,0.92,0.814
