,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.655,0.727,1,0.163,0.919,0.499,0.623,0.676,0.587,0.079,0.969,0.509
1,0.551,0.74,0.143,0.053,0.985,0.51,0.582,0.676,0.122,0.047,0.986,0.513
2,0.532,0.74,0.122,0.052,0.985,0.504,0.58,0.676,0.125,0.047,0.986,0.512
3,0.529,0.746,0.127,0.052,0.985,0.498,0.58,0.676,0.125,0.047,0.986,0.511
4,0.525,0.742,0.129,0.052,0.986,0.497,0.579,0.676,0.135,0.047,0.986,0.511
5,0.52,0.748,0.131,0.053,0.986,0.502,0.579,0.676,0.135,0.047,0.986,0.51
6,0.523,0.746,0.131,0.053,0.986,0.502,0.579,0.676,0.135,0.047,0.986,0.51
7,0.528,0.744,0.132,0.052,0.986,0.5,0.579,0.676,0.135,0.047,0.986,0.511
8,0.527,0.746,0.132,0.053,0.985,0.505,0.579,0.676,0.135,0.047,0.986,0.51
9,0.531,0.74,0.132,0.052,0.986,0.499,0.579,0.676,0.135,0.047,0.986,0.511
