,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.655,0.738,1,0.169,0.915,0.501,0.591,0.76,0.514,0.085,0.972,0.491
1,0.55,0.742,0.141,0.054,0.985,0.501,0.503,0.76,0.125,0.054,0.985,0.478
2,0.524,0.75,0.125,0.056,0.984,0.493,0.499,0.76,0.132,0.054,0.985,0.478
3,0.52,0.75,0.134,0.054,0.985,0.497,0.498,0.76,0.135,0.054,0.985,0.479
4,0.518,0.754,0.134,0.055,0.985,0.494,0.498,0.76,0.135,0.054,0.985,0.477
5,0.531,0.742,0.135,0.053,0.985,0.489,0.498,0.76,0.135,0.054,0.985,0.478
6,0.521,0.75,0.135,0.054,0.985,0.499,0.498,0.76,0.135,0.054,0.985,0.477
7,0.524,0.746,0.135,0.054,0.985,0.491,0.498,0.76,0.135,0.054,0.985,0.479
8,0.526,0.746,0.135,0.054,0.985,0.501,0.498,0.76,0.135,0.054,0.985,0.48
9,0.526,0.746,0.135,0.054,0.985,0.502,0.498,0.76,0.135,0.054,0.985,0.48
