,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.497,0.82,0.107,0.609,0.87,0.818,0.492,0.809,0.058,0.688,0.882,0.816
1,0.376,0.855,0.08,0.568,0.939,0.851,0.444,0.814,0.06,0.817,0.873,0.82
2,0.341,0.869,0.076,0.589,0.948,0.878,0.457,0.812,0.066,0.699,0.872,0.791
3,0.305,0.887,0.066,0.643,0.953,0.901,0.48,0.807,0.078,0.735,0.863,0.8
4,0.27,0.902,0.058,0.693,0.956,0.928,0.487,0.812,0.081,0.642,0.87,0.798
5,0.249,0.91,0.05,0.725,0.96,0.942,0.517,0.802,0.066,0.611,0.909,0.781
6,0.235,0.914,0.048,0.747,0.957,0.948,0.431,0.822,0.061,0.706,0.888,0.802
7,0.228,0.918,0.047,0.754,0.96,0.951,0.472,0.825,0.051,0.665,0.91,0.801
8,0.224,0.922,0.046,0.764,0.962,0.953,0.459,0.833,0.051,0.667,0.912,0.8
9,0.227,0.918,0.046,0.752,0.964,0.955,0.47,0.825,0.05,0.652,0.916,0.801
