,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.519,0.817,0.3375,0.602,0.8755,0.8215,0.572,0.725,0.272,0.877,0.552,0.773
1,0.3735,0.855,0.1745,0.5585,0.942,0.8585,0.747,0.709,0.179,0.935,0.505,0.795
2,0.3435,0.867,0.166,0.5855,0.9465,0.8765,0.711,0.709,0.167,0.936,0.531,0.79
3,0.306,0.883,0.141,0.6335,0.956,0.904,0.503,0.764,0.197,0.77,0.748,0.778
4,0.268,0.902,0.1175,0.701,0.9585,0.929,0.648,0.727,0.17,0.906,0.578,0.782
5,0.244,0.914,0.108,0.732,0.9625,0.943,0.561,0.75,0.163,0.837,0.696,0.774
6,0.232,0.914,0.103,0.749,0.962,0.951,0.596,0.754,0.157,0.865,0.645,0.775
7,0.225,0.922,0.098,0.757,0.9625,0.9535,0.611,0.748,0.174,0.877,0.628,0.768
8,0.225,0.922,0.0985,0.7565,0.962,0.953,0.599,0.752,0.169,0.869,0.64,0.768
9,0.222,0.922,0.099,0.762,0.964,0.9555,0.586,0.752,0.171,0.863,0.648,0.77
