,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.499,0.816,0.109,0.594,0.881,0.82,0.608,0.746,0.112,0.594,0.81,0.759
1,0.38,0.848,0.081,0.559,0.939,0.85,0.433,0.781,0.108,0.543,0.882,0.753
2,0.349,0.859,0.078,0.591,0.944,0.878,0.529,0.725,0.102,0.673,0.791,0.755
3,0.308,0.887,0.066,0.639,0.957,0.907,0.501,0.771,0.059,0.461,0.889,0.742
4,0.266,0.906,0.056,0.692,0.958,0.93,0.526,0.746,0.076,0.576,0.851,0.718
5,0.247,0.91,0.05,0.728,0.96,0.944,0.589,0.754,0.06,0.524,0.846,0.719
6,0.231,0.914,0.047,0.756,0.961,0.95,0.589,0.742,0.08,0.568,0.815,0.697
7,0.233,0.918,0.047,0.748,0.962,0.952,0.62,0.73,0.079,0.611,0.799,0.717
8,0.226,0.918,0.047,0.761,0.964,0.955,0.624,0.73,0.079,0.609,0.795,0.713
9,0.226,0.918,0.047,0.758,0.959,0.955,0.652,0.723,0.08,0.643,0.781,0.715
