,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.206,0.947,0.009,0.052,0.998,0.723,0.258,0.947,0.035,0.175,0.994,0.728
1,0.1995,0.949,0.012,0.081,0.997,0.739,0.256,0.941,0.04,0.228,0.992,0.732
2,0.198,0.949,0.013,0.0965,0.996,0.746,0.235,0.941,0.028,0.206,0.993,0.737
3,0.195,0.949,0.013,0.101,0.996,0.747,0.232,0.939,0.02,0.164,0.996,0.741
4,0.195,0.949,0.013,0.106,0.996,0.7525,0.233,0.945,0.025,0.188,0.993,0.741
5,0.193,0.949,0.012,0.105,0.996,0.755,0.235,0.941,0.027,0.202,0.992,0.742
6,0.193,0.949,0.012,0.1015,0.996,0.7545,0.233,0.941,0.025,0.195,0.993,0.743
7,0.195,0.949,0.013,0.104,0.996,0.75,0.235,0.941,0.028,0.203,0.991,0.741
8,0.1965,0.949,0.013,0.1035,0.996,0.7565,0.236,0.941,0.029,0.212,0.99,0.739
9,0.1955,0.949,0.013,0.1095,0.996,0.75,0.235,0.941,0.029,0.207,0.99,0.739
