,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.207,0.949,0.009,0.0525,0.998,0.717,0.195,0.953,0.008,0.065,0.999,0.693
1,0.199,0.949,0.012,0.0815,0.997,0.746,0.183,0.953,0.007,0.063,0.999,0.668
2,0.197,0.949,0.013,0.0935,0.996,0.749,0.184,0.963,0.01,0.084,0.998,0.67
3,0.197,0.949,0.013,0.0975,0.996,0.747,0.182,0.961,0.007,0.061,0.999,0.671
4,0.196,0.949,0.013,0.1035,0.996,0.7535,0.179,0.963,0.008,0.074,0.998,0.67
5,0.1965,0.949,0.014,0.107,0.996,0.7525,0.181,0.963,0.009,0.081,0.998,0.661
6,0.196,0.949,0.013,0.106,0.996,0.753,0.181,0.963,0.009,0.085,0.997,0.661
7,0.1965,0.949,0.013,0.107,0.996,0.7515,0.181,0.963,0.008,0.079,0.998,0.661
8,0.198,0.949,0.013,0.105,0.996,0.7535,0.181,0.963,0.009,0.081,0.998,0.661
9,0.197,0.949,0.013,0.106,0.996,0.757,0.181,0.963,0.009,0.081,0.998,0.661
