,trainLoss,trainAcc,1-trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,1-testUncer,testTpr,testTnr,testRoc
0,0.2345,0.945,1,0,1,0.503,0.202,0.953,1,0,1,0.499
1,0.225,0.947,1,0,1,0.5005,0.202,0.953,1,0,1,0.497
2,0.226,0.945,1,0,1,0.5,0.202,0.953,1,0,1,0.492
3,0.224,0.949,1,0,1,0.4965,0.202,0.953,1,0,1,0.498
4,0.227,0.945,1,0,1,0.501,0.202,0.953,1,0,1,0.5
5,0.226,0.945,1,0,1,0.5,0.202,0.953,1,0,1,0.496
6,0.224,0.949,1,0,1,0.5045,0.202,0.953,1,0,1,0.5
7,0.224,0.947,1,0,1,0.4985,0.202,0.953,1,0,1,0.495
8,0.226,0.945,1,0,1,0.503,0.202,0.953,1,0,1,0.496
9,0.223,0.947,1,0,1,0.497,0.202,0.953,1,0,1,0.499
