,trainLoss,trainAcc,1-trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,1-testUncer,testTpr,testTnr,testRoc
0,0.234,0.945,1,0,1,0.502,0.221,0.965,1,0,1,0.464
1,0.228,0.945,1,0,1,0.5,0.221,0.965,1,0,1,0.468
2,0.226,0.947,1,0,1,0.496,0.221,0.965,1,0,1,0.469
3,0.232,0.945,1,0,1,0.496,0.221,0.965,1,0,1,0.467
4,0.227,0.947,1,0,1,0.498,0.221,0.965,1,0,1,0.466
5,0.229,0.945,1,0,1,0.501,0.221,0.965,1,0,1,0.469
6,0.228,0.945,1,0,1,0.497,0.221,0.965,1,0,1,0.465
7,0.227,0.945,1,0,1,0.494,0.221,0.965,1,0,1,0.465
8,0.227,0.945,1,0,1,0.503,0.221,0.965,1,0,1,0.467
9,0.228,0.945,1,0,1,0.497,0.221,0.965,1,0,1,0.464
