,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.199,0.947,0.013,0.117,0.995,0.762,0.171,0.961,0.009,0.068,0.998,0.739
1,0.186,0.949,0.0155,0.151,0.994,0.794,0.179,0.969,0.015,0.126,0.993,0.716
2,0.176,0.951,0.017,0.1985,0.9935,0.829,0.176,0.961,0.021,0.219,0.985,0.754
3,0.166,0.953,0.018,0.256,0.992,0.852,0.172,0.969,0.014,0.163,0.996,0.773
4,0.156,0.957,0.019,0.306,0.9915,0.88,0.173,0.969,0.01,0.143,0.996,0.789
5,0.149,0.957,0.02,0.34,0.991,0.899,0.179,0.969,0.012,0.154,0.995,0.77
6,0.146,0.957,0.02,0.358,0.991,0.909,0.177,0.967,0.012,0.177,0.995,0.798
7,0.144,0.957,0.02,0.363,0.99,0.91,0.18,0.969,0.012,0.174,0.995,0.797
8,0.143,0.957,0.02,0.3715,0.99,0.9125,0.18,0.969,0.012,0.166,0.995,0.797
9,0.142,0.957,0.02,0.3715,0.99,0.914,0.18,0.969,0.012,0.168,0.995,0.799
