,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.1875,0.9505,0.014,0.12,0.995,0.771,0.341,0.945,0.009,0.065,0.993,0.723
1,0.188,0.949,0.016,0.14,0.994,0.796,0.234,0.938,0.031,0.144,0.991,0.791
2,0.179,0.949,0.018,0.174,0.993,0.822,0.223,0.939,0.043,0.28,0.982,0.788
3,0.1755,0.949,0.018,0.187,0.9935,0.83,0.226,0.938,0.027,0.228,0.986,0.776
4,0.1755,0.949,0.019,0.203,0.993,0.833,0.22,0.934,0.032,0.273,0.983,0.801
5,0.172,0.951,0.019,0.219,0.992,0.8445,0.226,0.93,0.03,0.233,0.987,0.8
6,0.167,0.953,0.02,0.244,0.992,0.8595,0.23,0.926,0.035,0.254,0.985,0.812
7,0.164,0.953,0.02,0.261,0.992,0.864,0.222,0.93,0.03,0.241,0.987,0.814
8,0.158,0.953,0.021,0.2855,0.991,0.8745,0.225,0.926,0.032,0.316,0.978,0.836
9,0.1555,0.955,0.021,0.301,0.991,0.882,0.223,0.934,0.033,0.332,0.976,0.838
