,trainLoss,trainAcc,trainUncer,trainTpr,trainTnr,trainRoc,testLoss,testAcc,testUncer,testTpr,testTnr,testRoc
0,0.195,0.949,0.015,0.122,0.995,0.766,0.217,0.945,0.042,0.209,0.976,0.718
1,0.19,0.949,0.017,0.143,0.994,0.797,0.173,0.963,0.014,0.087,0.997,0.803
2,0.186,0.949,0.019,0.16,0.994,0.811,0.219,0.938,0.044,0.266,0.968,0.829
3,0.181,0.949,0.019,0.174,0.993,0.823,0.185,0.957,0.024,0.2,0.99,0.796
4,0.178,0.949,0.019,0.196,0.993,0.837,0.193,0.951,0.033,0.307,0.98,0.807
5,0.173,0.949,0.02,0.215,0.993,0.846,0.174,0.953,0.024,0.241,0.988,0.835
6,0.173,0.949,0.02,0.229,0.992,0.852,0.17,0.953,0.025,0.263,0.988,0.873
7,0.167,0.953,0.021,0.244,0.992,0.86,0.169,0.949,0.028,0.277,0.986,0.842
8,0.166,0.951,0.021,0.262,0.992,0.867,0.167,0.953,0.026,0.28,0.985,0.868
9,0.163,0.953,0.021,0.266,0.991,0.87,0.168,0.953,0.027,0.278,0.985,0.869
